Date,price
1/7/2014 22:00,41.70029
1/7/2014 22:30,38.24741
1/7/2014 23:00,36.76798
1/7/2014 23:30,36.53853
1/8/2014 0:00,38.59299
1/8/2014 0:30,35.58647
1/8/2014 1:00,34.8591
1/8/2014 1:30,35.93051
1/8/2014 2:00,32.71993
1/8/2014 2:30,32
1/8/2014 3:00,35.93066
1/8/2014 3:30,36.52229
1/8/2014 4:00,36.08074
1/8/2014 4:30,41.59175
1/8/2014 5:00,37.1094
1/8/2014 5:30,35.55439
1/8/2014 6:00,16.74034
1/8/2014 6:30,40.80445
1/8/2014 7:00,40.44414
1/8/2014 7:30,40.69428
1/8/2014 8:00,40.10026
1/8/2014 8:30,32.49573
1/8/2014 9:00,35.85609
1/8/2014 9:30,34.51592
1/8/2014 10:00,39.96668
1/8/2014 10:30,36.68632
1/8/2014 11:00,36.64876
1/8/2014 11:30,34.68425
1/8/2014 12:00,36.7712
1/8/2014 12:30,36.60381
1/8/2014 13:00,36.46763
1/8/2014 13:30,33.70421
1/8/2014 14:00,36.35765
1/8/2014 14:30,40.72767
1/8/2014 15:00,38.9031
1/8/2014 15:30,37.42079
1/8/2014 16:00,36.93076
1/8/2014 16:30,41.55767
1/8/2014 17:00,40.76544
1/8/2014 17:30,57.80615
1/8/2014 18:00,43.00832
1/8/2014 18:30,41.35539
1/8/2014 19:00,44.31909
1/8/2014 19:30,45.97902
1/8/2014 20:00,41.18286
1/8/2014 20:30,40.49146
1/8/2014 21:00,39.3919
1/8/2014 21:30,41.87768
1/8/2014 22:00,52.46641
1/8/2014 22:30,42.45627
1/8/2014 23:00,47.27082
1/8/2014 23:30,37.57422
1/9/2014 0:00,37
1/9/2014 0:30,37.70017
1/9/2014 1:00,33.84974
1/9/2014 1:30,34.02013
1/9/2014 2:00,23.96972
1/9/2014 2:30,23.7516
1/9/2014 3:00,24
1/9/2014 3:30,20
1/9/2014 4:00,25
1/9/2014 4:30,30
1/9/2014 5:00,32.72577
1/9/2014 5:30,35.53131
1/9/2014 6:00,25.58271
1/9/2014 6:30,39.8815
1/9/2014 7:00,47.85384
1/9/2014 7:30,53.58583
1/9/2014 8:00,48.47445
1/9/2014 8:30,45.10718
1/9/2014 9:00,41.83543
1/9/2014 9:30,42.35055
1/9/2014 10:00,37.25843
1/9/2014 10:30,32.63724
1/9/2014 11:00,42.07433
1/9/2014 11:30,39.44957
1/9/2014 12:00,35.54443
1/9/2014 12:30,35.23938
